update,ep_num,ep_score,ep_kills,ep_steps,start_p_x,start_alien_dir,start_swarm_drift
291,40833,1051.4,40,2563,549,1,46.2
291,40834,586.1,36,2348,63,1,87.5
291,40835,1045.4,40,3519,699,1,87.5
291,40836,1095.9,40,2293,506,1,35.0
291,40837,1070.0,40,2663,334,-1,12.5
291,40838,591.2,36,2477,582,1,55.0
291,40839,931.7,40,3769,268,1,30.0
291,40840,802.3,39,3724,690,-1,85.0
291,40841,301.0,29,1858,134,1,67.5
291,40842,723.1,39,3221,290,1,25.0
291,40843,1110.2,40,2425,196,1,50.0
291,40844,1121.3,40,2285,568,-1,51.2
291,40845,1117.5,40,2235,17,-1,100.0
291,40846,713.6,39,2711,451,-1,18.8
291,40847,1040.7,40,2949,626,1,67.5
291,40848,1064.2,40,3400,614,-1,65.0
291,40849,1113.3,40,2711,755,-1,103.8
291,40850,618.6,34,2182,287,1,25.0
291,40851,1047.3,40,3655,525,1,40.0
291,40852,969.1,40,2333,564,-1,50.0
291,40853,1076.1,40,2928,618,-1,65.0
291,40854,1084.6,40,2800,464,1,22.5
291,40855,879.9,40,3510,653,-1,75.0
291,40856,1051.9,40,2605,395,-1,3.8
291,40857,1087.2,40,2935,730,-1,96.2
291,40858,1006.6,40,2664,402,-1,5.0
291,40859,1032.0,40,2948,420,-1,10.0
291,40860,1110.2,40,2497,685,1,83.8
291,40861,1073.9,40,2455,286,1,25.0
291,40862,703.3,36,1978,534,-1,42.5
291,40863,971.0,40,2813,509,1,35.0
291,40864,898.0,40,3171,132,-1,68.8
291,40865,1014.8,40,2894,604,-1,61.2
291,40866,1087.0,40,2835,571,1,52.5
291,40867,387.3,30,1517,694,-1,86.2
291,40868,543.7,39,3095,450,-1,18.8
291,40869,685.3,39,4732,444,1,17.5
291,40870,1034.4,40,2756,321,-1,16.2
291,40871,711.1,37,2560,462,1,22.5
291,40872,1130.7,40,2297,377,1,0
291,40873,308.0,31,2017,630,1,68.8
291,40874,662.8,35,2341,562,1,50.0
291,40875,1072.4,40,2715,628,1,68.8
291,40876,1075.2,40,2135,619,-1,66.2
291,40877,1113.7,40,2194,104,1,76.2
291,40878,1080.0,40,2430,242,1,37.5
291,40879,525.3,34,2172,471,-1,25.0
291,40880,286.9,27,1628,150,-1,63.8
291,40881,1078.9,40,2273,364,1,3.8
291,40882,331.5,28,1748,180,-1,55.0
291,40883,1022.5,40,2985,444,-1,17.5
291,40884,793.3,39,3056,199,-1,50.0
291,40885,1116.1,40,2070,84,1,81.2
291,40886,1011.3,40,2461,562,1,50.0
291,40887,1121.3,40,2332,592,1,58.8
291,40888,1044.2,40,2880,439,-1,16.2
291,40889,1120.1,40,2169,108,1,75.0
291,40890,1078.1,40,2518,194,-1,51.2
291,40891,1101.7,40,2647,0,-1,105.0
291,40892,1077.2,40,2774,648,-1,73.8
291,40893,1108.0,40,1914,446,-1,17.5
291,40894,527.3,35,2157,718,1,93.8
291,40895,1094.5,40,2316,436,1,15.0
291,40896,950.9,40,3235,488,1,30.0
291,40897,1075.6,40,2255,444,-1,17.5
291,40898,1023.5,40,2540,12,1,101.2
291,40899,1090.2,40,2422,758,1,105.0
291,40900,359.4,29,1453,356,-1,6.2
291,40901,1095.7,40,2317,558,1,48.8
291,40902,1097.9,40,2080,544,-1,45.0
291,40903,652.9,35,2277,613,1,63.8
291,40904,1047.0,40,3050,712,-1,91.2
291,40905,1091.3,40,2394,440,1,16.2
291,40906,925.0,40,2788,557,-1,48.8
291,40907,1077.0,40,2623,662,1,77.5
291,40908,1082.2,40,2482,284,1,26.2
291,40909,1111.9,40,2270,624,1,67.5
291,40910,966.7,40,2712,384,1,0
291,40911,1092.3,40,3049,336,1,11.2
291,40912,410.7,32,1854,115,1,72.5
291,40913,276.0,30,1638,517,-1,37.5
291,40914,427.9,32,1829,757,1,103.8
291,40915,426.5,31,1566,77,-1,83.8
291,40916,408.6,30,1776,737,-1,98.8
291,40917,1080.9,40,2596,84,1,81.2
291,40918,513.7,34,2138,245,1,37.5
291,40919,941.8,40,3253,83,1,82.5
291,40920,890.5,40,2735,353,1,7.5
291,40921,872.9,40,2895,259,1,32.5
291,40922,554.3,37,2782,368,1,2.5
291,40923,481.6,33,2015,494,1,31.2
291,40924,807.1,39,4839,239,-1,38.8
291,40925,1068.4,40,2614,333,1,12.5
291,40926,1088.2,40,2308,27,1,97.5
291,40927,1086.1,40,2646,595,-1,58.8
291,40928,1105.6,40,2218,147,1,63.8
291,40929,415.4,32,1844,438,-1,15.0
291,40930,1076.2,40,2599,84,-1,81.2
291,40931,740.0,39,3223,674,1,81.2
291,40932,393.7,31,1771,396,-1,3.8
291,40933,1087.3,40,2881,110,1,75.0
291,40934,1003.8,40,2550,601,1,61.2
291,40935,1036.6,40,2327,287,-1,25.0
291,40936,1102.3,40,2231,634,1,70.0
291,40937,440.0,32,1837,41,1,93.8
291,40938,990.7,40,2151,710,1,91.2
291,40939,1036.6,40,2836,51,1,91.2
291,40940,1091.5,40,2616,654,1,75.0
291,40941,936.4,40,3227,6,1,103.8
291,40942,443.2,36,2332,614,-1,65.0
291,40943,508.7,34,1842,698,1,87.5
291,40944,316.8,28,1628,655,-1,76.2
291,40945,1081.5,40,2295,244,-1,37.5
291,40946,1067.2,40,2268,67,1,86.2
291,40947,1080.8,40,2640,452,1,20.0
291,40948,1073.0,40,2973,183,-1,53.8
291,40949,1103.5,40,2549,174,-1,56.2
291,40950,1094.9,40,2917,511,1,36.2
291,40951,1032.3,40,2812,438,-1,15.0
291,40952,1067.2,40,2239,112,1,73.8
291,40953,685.1,36,2048,669,1,80.0
291,40954,1109.0,40,1885,473,-1,25.0
291,40955,441.4,30,1989,4,1,103.8
291,40956,1024.0,40,3095,683,1,83.8
291,40957,1079.4,40,2434,257,1,33.8
291,40958,1092.3,40,2680,417,1,10.0
291,40959,1080.1,40,2658,384,-1,0
291,40960,404.4,30,1753,759,-1,105.0
291,40961,1064.1,40,2763,477,-1,26.2
291,40962,1019.6,40,2779,451,1,18.8
291,40963,737.0,37,2455,450,-1,18.8
291,40964,1023.0,40,3418,290,-1,25.0
291,40965,978.6,40,2348,85,-1,81.2
291,40966,1097.9,40,2486,419,1,10.0
291,40967,1055.0,40,2670,613,1,63.8
291,40968,686.3,38,2686,135,-1,67.5
291,40969,714.0,36,2272,128,1,70.0
291,40970,1070.9,40,3313,622,-1,66.2
291,40971,1112.5,40,2063,466,-1,23.8
291,40972,463.1,33,2086,364,-1,3.8
291,40973,792.2,38,2525,354,1,6.2
291,40974,626.1,34,2195,357,1,6.2
291,40975,1102.1,40,2607,72,-1,85.0
291,40976,1049.4,40,2258,365,-1,3.8
291,40977,982.5,40,2148,135,1,67.5
291,40978,1074.1,40,2504,545,-1,45.0
291,40979,1079.6,40,2354,539,1,43.8
291,40980,1058.2,40,3460,290,1,25.0
291,40981,404.2,30,1677,721,1,93.8
291,40982,934.9,40,2763,55,-1,90.0
291,40983,1063.2,40,2969,117,1,72.5
291,40984,654.0,35,2248,54,-1,90.0
291,40985,1029.1,40,3061,709,1,91.2
291,40986,529.2,34,2100,38,-1,95.0
291,40987,745.3,37,2497,554,-1,47.5
291,40988,1075.5,40,2630,452,-1,20.0
291,40989,964.9,40,2719,95,1,78.8
291,40990,1086.7,40,2254,3,1,103.8
291,40991,1027.5,40,3388,73,1,85.0
291,40992,520.7,33,1884,504,1,33.8
291,40993,441.5,31,1806,731,-1,97.5
291,40994,1039.1,40,2743,394,1,3.8
291,40995,231.0,25,1893,309,1,18.8
291,40996,1079.8,40,2610,430,1,13.8
291,40997,1115.5,40,2140,585,-1,56.2
291,40998,1107.3,40,2258,646,1,73.8
291,40999,1095.9,40,2205,668,-1,80.0
291,41000,169.3,27,1677,694,-1,86.2
291,41001,772.8,38,3109,387,1,1.2
291,41002,751.1,38,3024,428,1,12.5
291,41003,1085.0,40,2336,126,1,70.0
291,41004,1101.3,40,2527,436,1,15.0
291,41005,1120.0,40,2394,746,-1,101.2
291,41006,336.1,30,1832,671,-1,80.0
291,41007,973.3,40,2203,369,1,2.5
291,41008,1079.2,40,2399,232,-1,40.0
291,41009,1001.8,40,3432,455,-1,20.0
291,41010,624.6,34,2149,61,-1,87.5
291,41011,743.4,37,2616,163,-1,60.0
291,41012,862.0,40,3625,411,-1,7.5
291,41013,430.9,32,1777,337,-1,11.2
291,41014,1079.0,40,2626,647,1,73.8
291,41015,787.1,38,3097,303,-1,21.2
291,41016,1066.5,40,2366,531,1,41.2
291,41017,730.6,37,2324,68,1,86.2
291,41018,346.0,30,1855,637,1,71.2
291,41019,990.9,40,2708,384,1,0
291,41020,948.2,40,2078,503,-1,33.8
291,41021,1094.9,40,2526,446,1,17.5
291,41022,1049.7,40,2269,285,-1,26.2
291,41023,1041.0,40,3158,403,1,6.2
291,41024,1118.7,40,2522,703,1,88.8
291,41025,517.0,34,1894,295,1,22.5
291,41026,1106.6,40,2660,208,1,47.5
291,41027,171.7,28,1780,323,-1,15.0
291,41028,1090.1,40,2834,543,1,45.0
291,41029,758.1,37,3133,416,1,10.0
291,41030,1031.2,40,3238,716,1,92.5
291,41031,928.3,40,2525,215,-1,45.0
291,41032,1043.8,40,3121,338,1,11.2
291,41033,548.2,35,2326,46,1,92.5
291,41034,442.2,32,1892,287,1,25.0
291,41035,673.9,38,2871,168,-1,58.8
291,41036,644.6,36,2808,525,1,40.0
291,41037,1063.7,40,3109,48,-1,91.2
291,41038,1099.8,40,2059,604,1,61.2
291,41039,585.5,36,2294,584,1,56.2
291,41040,949.1,40,2572,692,1,86.2
291,41041,1103.7,40,2425,322,1,15.0
291,41042,959.0,40,3702,450,1,18.8
291,41043,1035.7,40,2179,238,1,38.8
291,41044,1069.5,40,2383,203,-1,48.8
291,41045,663.6,37,2230,735,-1,97.5
291,41046,20.7,24,1708,579,1,55.0
291,41047,1060.5,40,2709,444,1,17.5
291,41048,1075.9,40,2858,153,1,62.5
291,41049,713.8,37,3231,362,1,5.0
291,41050,1021.9,40,3257,747,1,101.2
291,41051,921.5,40,3268,119,1,72.5
291,41052,1106.4,40,2479,662,1,77.5
291,41053,624.6,39,2681,601,-1,61.2
291,41054,1087.3,40,2987,246,1,36.2
291,41055,808.1,39,3338,612,1,63.8
291,41056,1071.6,40,2147,532,1,41.2
291,41057,690.2,37,2559,131,-1,68.8
291,41058,958.1,40,3009,732,-1,97.5
291,41059,1072.2,40,2561,525,-1,40.0
291,41060,1060.2,40,2219,166,1,58.8
291,41061,700.3,36,2449,193,1,51.2
291,41062,1019.6,40,2510,202,-1,48.8
291,41063,464.4,33,1968,56,1,90.0
291,41064,626.2,36,2019,646,-1,73.8
291,41065,1065.7,40,2894,98,-1,77.5
291,41066,1111.9,40,2144,747,-1,101.2
291,41067,524.7,34,1978,296,-1,22.5
291,41068,1008.8,40,3402,408,-1,7.5
291,41069,667.5,35,2244,418,-1,10.0
291,41070,332.9,28,1544,69,1,86.2
291,41071,543.8,35,2125,548,-1,46.2
291,41072,1109.7,40,2494,298,1,22.5
291,41073,668.5,39,3011,113,-1,73.8
291,41074,1099.4,40,2143,736,1,98.8
291,41075,1101.3,40,2510,112,-1,73.8
291,41076,1084.8,40,2290,221,1,43.8
291,41077,1017.2,40,2734,723,-1,95.0
291,41078,718.3,38,2803,204,1,48.8
291,41079,1008.2,40,3006,206,1,47.5
291,41080,1098.5,40,2276,204,-1,48.8
291,41081,746.2,37,2894,62,-1,87.5
291,41082,1042.5,40,2608,345,-1,8.8
291,41083,762.2,37,3303,617,1,65.0
291,41084,1071.7,40,2315,101,-1,77.5
291,41085,995.1,40,3139,398,-1,5.0
291,41086,1040.3,40,3395,235,1,40.0
291,41087,715.9,38,3196,456,1,20.0
291,41088,986.0,40,2761,507,1,35.0
291,41089,615.3,36,2168,743,-1,100.0
291,41090,1050.3,40,2490,37,1,95.0
291,41091,937.0,40,2145,687,-1,85.0
291,41092,467.2,33,1999,565,1,51.2
291,41093,1080.1,40,2089,2,-1,105.0
291,41094,1087.0,40,2298,31,1,96.2
291,41095,475.5,36,1875,211,1,46.2
291,41096,667.8,35,2336,693,1,86.2
291,41097,226.0,29,1734,299,1,22.5
291,41098,1066.7,40,2800,713,1,92.5
291,41099,497.9,31,2039,47,1,92.5
291,41100,820.3,39,2902,677,1,82.5
291,41101,1104.3,40,2256,132,1,68.8
291,41102,1085.6,40,2444,738,-1,98.8
291,41103,1108.4,40,2069,702,1,88.8
291,41104,1006.5,40,3176,567,-1,51.2
291,41105,1107.3,40,2212,707,-1,90.0
291,41106,1042.1,40,3025,718,-1,93.8
291,41107,433.0,32,1843,68,1,86.2
291,41108,1117.9,40,2143,554,-1,47.5
291,41109,1051.4,40,2287,181,1,55.0
291,41110,799.9,39,3605,140,1,66.2
291,41111,953.5,40,2419,677,1,82.5
291,41112,1118.1,40,1936,658,-1,76.2
291,41113,1069.5,40,2942,589,1,57.5
291,41114,1090.2,40,3086,714,1,92.5
291,41115,290.7,27,1536,485,-1,28.8
291,41116,1040.5,40,2203,422,1,11.2
291,41117,673.9,38,3551,94,1,78.8
291,41118,705.5,39,2923,363,-1,3.8
291,41119,952.5,40,2414,726,1,95.0
291,41120,570.4,33,2055,300,1,21.2
291,41121,619.4,34,2338,300,1,21.2
291,41122,361.5,29,1471,485,-1,28.8
291,41123,1099.1,40,2189,349,1,7.5
291,41124,324.8,28,1575,697,-1,87.5
291,41125,1053.0,40,3189,427,1,12.5
291,41126,1053.4,40,2554,242,1,37.5
291,41127,1071.8,40,2635,193,-1,51.2
291,41128,666.7,35,2277,7,1,102.5
291,41129,569.8,36,3123,329,-1,13.8
291,41130,1044.3,40,3230,119,1,72.5
291,41131,1054.6,40,2850,170,1,57.5
291,41132,288.8,27,1559,690,1,85.0
291,41133,945.2,40,3109,566,1,51.2
291,41134,753.4,37,2456,383,1,0
291,41135,657.6,35,2020,617,1,65.0
291,41136,1081.1,40,2767,326,1,15.0
291,41137,1053.4,40,2608,624,1,67.5
291,41138,847.0,39,3187,186,-1,53.8
291,41139,1062.2,40,3363,142,1,65.0
291,41140,1034.5,40,2574,426,1,12.5
291,41141,474.8,32,1590,561,-1,50.0
291,41142,1125.0,40,1971,596,-1,60.0
291,41143,1130.0,40,1938,675,-1,81.2
291,41144,1070.1,40,2278,612,1,63.8
291,41145,795.1,39,3228,471,-1,25.0
291,41146,1111.9,40,2861,334,1,12.5
291,41147,660.1,35,2391,519,1,37.5
291,41148,520.7,35,2148,758,1,105.0
291,41149,348.7,37,2468,1,1,105.0
291,41150,759.9,37,3466,371,-1,2.5
291,41151,1083.5,40,2551,661,-1,77.5
291,41152,1105.3,40,2111,103,-1,76.2
291,41153,1115.8,40,1990,439,-1,16.2
291,41154,980.1,40,2196,528,1,40.0
291,41155,1069.9,40,2508,379,1,0
291,41156,354.1,30,1871,192,1,51.2
291,41157,1101.7,40,2380,230,1,41.2
291,41158,1104.6,40,2849,406,-1,6.2
291,41159,1093.1,40,2645,264,1,31.2
291,41160,961.7,40,2431,125,-1,70.0
291,41161,148.8,23,1613,181,-1,55.0
291,41162,640.2,37,2627,290,1,25.0
291,41163,1066.0,40,2529,281,1,27.5
291,41164,1097.7,40,2219,345,-1,8.8
291,41165,1021.5,40,3484,335,1,12.5
291,41166,1129.9,40,1918,596,-1,60.0
291,41167,977.9,40,3032,287,-1,25.0
291,41168,1055.1,40,2532,166,-1,58.8
291,41169,691.3,37,2940,212,1,46.2
291,41170,1105.5,40,2231,181,1,55.0
291,41171,1051.7,40,3029,32,-1,96.2
291,41172,675.6,39,3795,172,1,57.5
291,41173,69.4,24,1691,754,-1,103.8
291,41174,970.8,40,2355,479,-1,27.5
291,41175,213.4,29,1630,278,-1,27.5
291,41176,551.9,35,2167,737,-1,98.8
291,41177,1086.1,40,2336,553,-1,47.5
291,41178,1104.9,40,2110,656,1,76.2
291,41179,358.9,31,1850,7,-1,102.5
291,41180,1081.5,40,2210,353,1,7.5
291,41181,1059.8,40,2678,266,1,31.2
291,41182,263.9,26,1529,474,-1,25.0
291,41183,1092.5,40,2571,645,1,72.5
291,41184,1096.7,40,2682,285,1,26.2
291,41185,1015.4,40,3188,602,1,61.2
291,41186,1063.1,40,3244,377,1,0
291,41187,1051.2,40,2563,409,1,7.5
291,41188,1065.3,40,3027,545,1,45.0
291,41189,505.8,34,1830,752,1,102.5
291,41190,988.0,40,2750,662,-1,77.5
291,41191,1087.4,40,2908,276,1,28.8
291,41192,451.6,31,1732,465,1,22.5
291,41193,1085.7,40,2121,305,-1,20.0
291,41194,675.2,39,3036,289,-1,25.0
291,41195,1096.5,40,2370,466,1,23.8
291,41196,1108.2,40,2481,626,-1,67.5
291,41197,1122.2,40,2394,757,-1,103.8
291,41198,1106.4,40,2166,667,1,78.8
291,41199,1057.9,40,2528,229,1,41.2
291,41200,371.9,29,1526,512,-1,36.2
291,41201,1086.8,40,2745,474,1,25.0
291,41202,806.4,38,2545,567,-1,51.2
291,41203,1082.2,40,2324,59,1,88.8
291,41204,951.6,40,3101,532,-1,41.2
291,41205,1075.3,40,2077,719,1,93.8
291,41206,1101.4,40,2444,679,1,82.5
291,41207,760.0,37,2832,417,-1,10.0
291,41208,597.5,36,2026,367,-1,2.5
291,41209,1120.9,40,2013,485,1,28.8
291,41210,924.3,40,2338,30,-1,96.2
291,41211,1061.6,40,3108,667,-1,78.8
291,41212,724.2,39,3749,511,-1,36.2
291,41213,1101.4,40,2736,257,1,33.8
291,41214,969.3,40,2291,214,-1,45.0
291,41215,361.6,29,1505,481,-1,27.5
291,41216,1005.2,40,3726,428,-1,12.5
291,41217,1097.1,40,2913,468,1,23.8
291,41218,284.4,27,1487,423,-1,11.2
291,41219,1060.5,40,2409,39,-1,93.8
291,41220,1124.2,40,2060,55,-1,90.0
291,41221,1074.4,40,2384,185,-1,53.8
291,41222,1099.3,40,2254,169,1,57.5
291,41223,525.3,38,2636,398,-1,5.0
291,41224,971.9,40,2465,101,1,77.5
291,41225,965.0,40,2193,397,1,3.8
291,41226,404.5,30,1766,670,-1,80.0
291,41227,1069.9,40,2390,752,1,102.5
291,41228,623.0,37,2527,638,1,71.2
291,41229,1080.7,40,2269,113,1,73.8
291,41230,612.9,37,2836,325,-1,15.0
291,41231,1102.2,40,2810,158,-1,61.2
291,41232,1000.9,40,2869,103,1,76.2
291,41233,1117.3,40,1990,434,-1,15.0
291,41234,1068.5,40,2272,288,1,25.0
291,41235,506.6,34,2093,356,-1,6.2
291,41236,1078.5,40,2760,674,1,81.2
291,41237,1040.1,40,2732,574,-1,53.8
291,41238,1096.9,40,2650,480,1,27.5
291,41239,978.6,40,2318,6,1,103.8
291,41240,327.3,28,1707,631,-1,68.8
291,41241,436.9,31,1616,563,-1,50.0
291,41242,1060.4,40,2297,125,-1,70.0
291,41243,376.8,29,1777,436,-1,15.0
291,41244,1049.2,40,2894,750,-1,102.5
291,41245,1088.4,40,2370,447,-1,17.5
291,41246,320.6,30,1872,196,1,50.0
291,41247,1045.5,40,2230,86,-1,81.2
291,41248,388.9,31,1808,564,-1,50.0
291,41249,978.6,40,2381,250,-1,35.0
291,41250,769.8,39,3635,548,1,46.2
291,41251,581.5,33,2238,8,-1,102.5
292,41252,933.9,40,2988,567,1,51.2
292,41253,1046.6,40,2490,155,1,62.5
292,41254,1080.0,40,2801,327,1,13.8
292,41255,1023.8,40,3101,48,1,91.2
292,41256,1093.1,40,2894,386,1,1.2
292,41257,704.4,36,2255,335,-1,12.5
292,41258,652.0,38,2690,263,-1,32.5
292,41259,1062.8,40,2314,184,-1,53.8
292,41260,1104.6,40,2006,504,1,33.8
292,41261,928.1,40,3015,746,1,101.2
292,41262,922.3,40,3243,508,1,35.0
292,41263,280.0,28,1881,522,1,38.8
292,41264,1046.1,40,2759,198,-1,50.0
292,41265,717.7,36,2708,524,-1,40.0
292,41266,1083.6,40,2566,127,-1,70.0
292,41267,1109.4,40,2603,228,1,41.2
292,41268,1109.7,40,1949,76,1,83.8
292,41269,1088.7,40,2203,453,1,20.0
292,41270,1054.1,40,2250,348,-1,8.8
292,41271,1066.4,40,2624,281,1,27.5
292,41272,282.1,30,1615,346,-1,8.8
292,41273,366.0,29,1621,481,1,27.5
292,41274,1080.3,40,2981,169,1,57.5
292,41275,673.7,35,2118,99,-1,77.5
292,41276,1041.3,40,2433,361,1,5.0
292,41277,1125.0,40,1986,405,1,6.2
292,41278,1102.5,40,2247,365,-1,3.8
292,41279,1082.3,40,2143,125,1,70.0
292,41280,952.5,40,3394,12,1,101.2
292,41281,1103.0,40,2382,308,1,20.0
292,41282,1098.4,40,2593,750,-1,102.5
292,41283,1107.9,40,1936,381,-1,0
292,41284,1059.0,40,2371,503,-1,33.8
292,41285,750.0,37,2536,50,-1,91.2
292,41286,136.0,23,1459,430,-1,13.8
292,41287,397.1,31,1802,536,-1,42.5
292,41288,995.3,40,2628,320,-1,16.2
292,41289,459.8,33,1813,174,-1,56.2
292,41290,389.7,31,1810,188,-1,52.5
292,41291,1090.0,40,2535,646,1,73.8
292,41292,1103.5,40,2323,522,-1,38.8
292,41293,1035.4,40,3019,459,1,21.2
292,41294,1037.8,40,2930,639,-1,71.2
292,41295,1079.6,40,2182,401,-1,5.0
292,41296,1069.8,40,2504,214,1,45.0
292,41297,194.9,24,1556,341,-1,10.0
292,41298,1104.6,40,2116,315,-1,17.5
292,41299,291.0,27,1624,112,1,73.8
292,41300,1023.8,40,3450,321,1,16.2
292,41301,533.0,32,2012,257,-1,33.8
292,41302,1028.8,40,2817,389,-1,2.5
292,41303,1103.8,40,1961,188,-1,52.5
292,41304,1084.8,40,2198,566,-1,51.2
292,41305,473.7,34,2129,192,-1,51.2
292,41306,962.2,40,2763,133,1,67.5
292,41307,276.0,30,1627,294,-1,23.8
292,41308,987.5,40,2757,624,-1,67.5
