update,episodes,total_steps,ep_mean,ep_min,ep_max,avg50,best_avg50,mean_kills,max_kills,avg50_kills,best_avg50_kills,policy_loss,value_loss,rel_value_loss_pct,entropy,secs_rollout,secs_update
112,15849,29360128,398.06,-86.51,1039.11,393.58,471.89,31.41,40.0,31.6,32.4,0.00558,36.16165,1.511,1.06593,458.0,140.4
113,15972,29622272,397.31,50.98,1044.48,391.68,471.89,31.53,40.0,31.52,32.4,0.00422,35.73437,1.505,1.05956,456.0,138.2
114,16093,29884416,413.34,-228.47,1055.15,383.01,471.89,31.14,40.0,30.84,32.4,0.0041,33.16986,1.393,1.05823,449.8,138.8
115,16213,30146560,403.99,-11.37,1062.77,345.84,471.89,31.17,40.0,30.4,32.4,0.0038,36.94427,1.505,1.05915,458.6,135.7
116,16328,30408704,453.76,-6.63,1071.54,482.45,471.89,32.4,40.0,32.94,32.94,0.00434,40.0459,1.395,1.05058,477.6,141.0
117,16445,30670848,449.36,-87.13,1061.19,450.93,482.45,32.07,40.0,31.98,32.94,0.0048,34.81071,1.313,1.05542,464.9,140.9
118,16555,30932992,508.99,6.62,1051.33,513.3,482.45,33.15,40.0,33.1,33.1,0.00412,36.92194,1.194,1.05243,438.1,140.8
119,16665,31195136,481.19,-160.11,1031.49,521.45,513.3,33.15,40.0,33.46,33.46,0.00503,36.31601,1.252,1.04965,451.1,142.6
120,16785,31457280,444.21,-93.26,1064.91,483.18,521.45,31.74,40.0,32.7,33.46,0.00371,36.42375,1.359,1.04824,459.2,140.7
121,16910,31719424,391.71,-85.07,1061.69,427.56,521.45,30.76,40.0,31.28,33.46,0.00393,36.74755,1.548,1.06551,466.0,140.7
122,17026,31981568,473.87,-80.95,1090.43,463.0,521.45,32.74,40.0,32.2,33.46,0.00515,35.89595,1.264,1.06036,473.2,139.6
123,17141,32243712,430.82,-12.47,1050.48,448.8,521.45,32.2,40.0,32.4,33.46,0.00573,39.087,1.451,1.05423,469.5,139.3
124,17264,32505856,435.53,-221.14,1065.36,451.07,521.45,31.73,40.0,31.82,33.46,0.00627,37.33196,1.403,1.04868,472.4,142.3
125,17377,32768000,558.19,-26.07,1067.36,493.54,521.45,33.68,40.0,32.8,33.46,0.00448,39.21588,1.122,1.04213,469.5,140.3
126,17491,33030144,472.85,39.21,1082.83,481.98,521.45,32.37,40.0,32.98,33.46,0.00385,36.51117,1.278,1.05153,473.2,135.3
127,17609,33292288,484.84,92.02,1116.21,478.91,521.45,32.32,40.0,32.54,33.46,0.00355,34.42128,1.21,1.05181,471.6,138.8
128,17723,33554432,509.21,-32.28,1076.05,508.49,521.45,33.3,40.0,33.02,33.46,0.00469,34.86743,1.16,1.04815,469.7,138.3
129,17841,33816576,436.84,-97.53,1056.43,457.87,521.45,32.16,40.0,32.38,33.46,0.0045,36.07518,1.375,1.04856,471.8,139.5
130,17954,34078720,524.49,-19.57,1076.61,448.28,521.45,33.52,40.0,31.94,33.46,0.00408,36.12024,1.146,1.04726,468.5,137.9
131,18068,34340864,546.29,-123.97,1093.96,568.92,521.45,33.83,40.0,34.14,34.14,0.00513,34.56756,1.076,1.03359,469.3,138.8
132,18189,34603008,433.66,-162.12,1075.34,400.86,568.92,31.97,40.0,31.12,34.14,0.00456,36.35281,1.39,1.0472,468.9,139.5
133,18307,34865152,459.47,-130.9,1092.88,471.31,568.92,32.4,40.0,32.38,34.14,0.00468,36.9125,1.322,1.0424,463.5,139.6
134,18423,35127296,449.52,-4.82,1088.79,411.2,568.92,32.35,40.0,31.78,34.14,0.0052,35.75654,1.33,1.03544,471.0,139.9
135,18535,35389440,520.69,-62.79,1089.26,544.47,568.92,33.56,40.0,33.8,34.14,0.005,37.60868,1.178,1.03606,460.7,140.7
